Lat GPS (deg),Long GPS (deg),Accelerometer Y (rad/s^2),Gyroscope X (rad/s),Gyroscope Z (rad/s),Steering Angle encoder(rad),Speed VESC (rad/s),Time (ms),GNSS flag,Input,Reset Traj,State Estimate X (m),State Estimate Y (m),State Estimate Psi (rad),State Estimate Roll (rad),State Estimate Rollrate (rad/s),State Estimate Delta (rad),State Estimate Velocity (m/s),Steerrate input (rad/s),Rollref,Closestpoint,Error1,Error2,Dpsiref contribution,Lateral contribution,Heading contribution,State Estimator Iterations,Trajectory Iterations,steering flag,GPS velocity (m/s),E2 limit,E1 limit,Gyroscope Y (rad/s),Speed reference (rad/s),PI Current (A),Ki,Kp
1.0068391219,0.2090858513,-0.7762548600,-0.0068533022,-0.0016391761,-0.0510579563,0,2154076,5,0,0,-3984.696642,-1452.685754,-1.285522,-0.000482,-0.006862,-0.050992,0.000000,0,-0,0,-0.000037,0,0,0.000002,-0,55,55,0,0.069959,0,0,0.003403,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.8049785400,-0.0015082313,-0.0008755945,-0.0510579563,0,2154086,6,0,0,-3957.070069,-1444.583616,-1.286537,-0.00049,-0.001516,-0.051001,0.000000,0,-0,0,-0.000026,0,0,0.000001,-0,56,56,0,0.059671,0,0,0.00157,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7870262400,0.0035314069,-0.0017918924,-0.0510579563,0,2154096,6,0,0,-3929.464245,-1436.517987,-1.287552,-0.000447,0.003525,-0.050996,0.000000,0,0,0,0.000089,0,0,-0.000005,-0,57,57,0,0.059671,0,0,-0.001026,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7726644000,0.0009352296,-0.0028609066,-0.0510579563,0,2154106,6,0,0,-3901.879232,-1428.488825,-1.288568,-0.000429,0.000928,-0.050994,0.000000,0,0,0,0.000091,0,0,-0.000005,-0,58,58,0,0.059671,0,0,-0.004233,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7726644000,0.0030732580,-0.0017918924,-0.0510579563,0,2154117,6,0,0,-3874.315095,-1420.496085,-1.289583,-0.00039,0.003067,-0.050991,0.000000,0,0,0,0.000091,0,0,-0.000005,-0,59,59,0,0.059671,0,0,-0.004386,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7726644000,0.0030732580,-0.0017918924,-0.0510579563,0,2154126,6,0,0,-3846.771896,-1412.539721,-1.290598,-0.000351,0.003066,-0.050991,0.000000,0,-0,0,-0.000094,0,0,0.000005,-0,60,60,0,0.059671,0,0,-0.004386,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7523184600,0.0023096764,0.0011097175,-0.0510579563,0,2154136,6,0,0,-3819.249701,-1404.619687,-1.291613,-0.000318,0.002305,-0.050972,0.000000,0,0,0,0.000057,0,0,-0.000003,-0,61,61,0,0.059671,0,0,0.002792,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7858294200,0.0001716481,0.0006515686,-0.0510579563,0,2154146,6,0,0,-3791.748566,-1396.735928,-1.292628,-0.000309,0.000163,-0.050990,0.000000,0,-0,19,-1395.514769,-1.292628,0,0.167891,0.414478,62,62,0,0.059671,0,0,-0.005913,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7834357800,0.0047531374,-0.0008755945,-0.0510579563,0,2154156,6,0,0,-3764.268559,-1388.888403,-1.293643,-0.000254,0.004746,-0.050994,0.000000,0,0,0,0.000088,0,0,-0.000005,-0,63,63,0,0.059671,0,0,0.00325,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.8001912600,-0.0001337845,-0.0016391761,-0.0510579563,0,2154166,6,0,0,-3736.809742,-1381.077067,-1.294658,-0.000249,-0.000142,-0.051006,0.000000,0,0,0,0.000103,0,0,-0.000006,-0,64,64,0,0.059671,0,0,0.000807,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7738612200,0.0027678253,-0.0011810272,-0.0510579563,0,2154176,6,0,0,-3709.372183,-1373.301877,-1.295673,-0.000214,0.002762,-0.050991,0.000000,0,0,0,0.00009,0,0,-0.000005,-0,65,65,0,0.059671,0,0,-0.000568,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7618930200,0.0071965983,-0.0028609066,-0.0510579563,0,2154186,7,0,0,-3681.955944,-1365.562787,-1.296689,-0.000133,0.00719,-0.050992,0.000000,0,-0,0,-0.000028,0,0,0.000002,-0,66,66,0,0.068416,0,0,0.000807,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7463343600,0.0027678253,-0.0022500413,-0.0510579563,0,2154196,7,0,0,-3654.561089,-1357.859754,-1.297704,-0.000097,0.002762,-0.050984,0.000000,0,-0,0,-0.000035,0,0,0.000002,-0,67,67,0,0.068416,0,0,-0.000109,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7451375400,0.0010879459,-0.0030136229,-0.0510579563,0,2154206,7,0,0,-3627.18768,-1350.19273,-1.298719,-0.000077,0.001081,-0.050986,0.000000,0,-0,0,-0.000008,0,0,0,-0,68,68,0,0.068416,0,0,0.00096,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7403502600,-0.0037989760,-0.0005701619,-0.0510579563,0,2154217,7,0,0,-3599.83578,-1342.56167,-1.299734,-0.000105,-0.003805,-0.050975,0.000000,0,-0,0,-0.000032,0,0,0.000002,-0,69,69,0,0.068416,0,0,-0.00576,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7403502600,-0.0037989760,-0.0005701619,-0.0510579563,0,2154226,7,0,0,-3572.505451,-1334.966521,-1.300749,-0.000134,-0.003806,-0.050974,0.000000,0,-0,0,-0.000032,0,0,0.000002,-0,70,70,0,0.068416,0,0,-0.00576,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7594993800,0.0001716481,-0.0024027576,-0.0510579563,0,2154236,7,0,0,-3545.196752,-1327.407238,-1.301765,-0.000124,0.000163,-0.050990,0.000000,0,0,0,0.000119,0,0,-0.000007,-0,71,71,0,0.068416,0,0,-0.003927,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7618930200,-0.0041044086,-0.0010283109,-0.0510579563,0,2154246,7,0,0,-3517.909749,-1319.883777,-1.30278,-0.000157,-0.004111,-0.050987,0.000000,0,0,0,0.000097,0,0,-0.000005,-0,72,72,0,0.068416,0,0,-0.001789,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7654834800,-0.0012027987,0.0001934196,-0.0510579563,0,2154256,7,0,0,-3490.644503,-1312.396088,-1.303795,-0.000161,-0.001209,-0.050983,0.000000,0,0,0,0.000119,0,0,-0.000007,-0,73,73,0,0.068416,0,0,0.000043,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7918135200,0.0006297970,-0.0024027576,-0.0510579563,0,2154266,7,0,0,-3463.401074,-1304.944121,-1.30481,-0.000148,0.000621,-0.051005,0.000000,0,0,0,0.000107,0,0,-0.000006,-0,74,74,0,0.068416,0,0,0.000349,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7630898400,0.0041422721,-0.0049989349,-0.0510579563,0,2154276,7,0,0,-3436.179532,-1297.527836,-1.305825,-0.000098,0.004136,-0.051001,0.000000,0,-0,0,-0.000016,0,0,0.000001,-0,75,75,0,0.068416,0,0,0.002334,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7463343600,0.0046004211,0.0011097175,-0.0510579563,0,2154286,7,0,0,-3408.979939,-1290.147192,-1.30684,-0.000043,0.004596,-0.050972,0.000000,0,-0,0,-0.000038,0,0,0.000002,-0,76,76,0,0.068416,0,0,-0.00408,0,0,0.5,1.4
1.0068391219,0.2090858484,-0.7379566200,0.0038368395,0.0011097175,-0.0510579563,0,2154296,8,0,0,-3381.802354,-1282.802128,-1.307855,0.000004,0.00383,-0.050969,0.000000,0,-0,0,-0.000043,0,0,0.000002,-0,77,77,0,0.018004,0,0,-0.000568,0,0,0.5,1.4
1.0068391219,0.2090858484,-0.7762548600,0.0007825133,-0.0008755945,-0.0510579563,0,2154306,8,0,0,-3354.646832,-1275.492593,-1.308871,0.000019,0.000773,-0.050995,0.000000,0,-0,0,-0.00007,0,0,0.000004,-0,78,78,0,0.018004,0,0,-0.001179,0,0,0.5,1.4
1.0068391219,0.2090858484,-0.7714675800,-0.0079223163,-0.0034717718,-0.0510579563,0,2154317,8,0,0,-3327.513441,-1268.218547,-1.309886,-0.000053,-0.00793,-0.051002,0.000000,0,0,0,0.000013,0,0,-0.000001,-0,79,79,0,0.018004,0,0,-0.009578,0,0,0.5,1.4
1.0068391219,0.2090858484,-0.7714675800,-0.0079223163,-0.0034717718,-0.0510579563,0,2154326,8,0,0,-3300.402244,-1260.979947,-1.310901,-0.000125,-0.007929,-0.051000,0.000000,0,-0,0,-0.000053,0,0,0.000003,-0,80,80,0,0.018004,0,0,-0.009578,0,0,0.5,1.4
1.0068391219,0.2090858484,-0.7822389600,-0.0031881107,-0.0008755945,-0.0510579563,0,2154336,8,0,0,-3273.313303,-1253.776745,-1.311916,-0.00015,-0.003195,-0.050995,0.000000,0,-0,19,-1259.758788,-1.310901,0,0.167891,0.420338,81,81,0,0.018004,0,0,-0.001331,0,0,0.5,1.4
1.0068391219,0.2090858484,-0.7930103400,-0.0004392172,-0.0042353534,-0.0510579563,0,2154346,8,0,0,-3246.246675,-1246.608888,-1.312932,-0.000148,-0.000448,-0.051012,0.000000,0,0,0,0.000049,0,0,-0.000003,-0,82,82,0,0.018004,0,0,-0.002706,0,0,0.5,1.4
